1,40,21-Jun-04,1000,18,Jewelry,12
2,95,5-Dec-10,1000,18,Crokery,14
3,2,24-Sep-01,1362,25,footware,3
4,69,8-Feb-08,1000,15,Movies & Music,19
5,56,7-Jul-03,1000,23,Movies & Music,19
6,82,14-Aug-16,16869,16,sport n fitness,5
7,58,6-Aug-11,0,11,Appstore For Android,22
8,33,28-Feb-12,1000,23,Movies & Music,19
9,18,18-Jul-02,22059,11,sport n fitness,5
10,47,26-Dec-01,1000,24,Home Services,15
11,78,7-Aug-17,1000,13,Automotive,16
12,24,11-Nov-03,0,12,Prime Photos And Prints,23
13,35,6-Jan-04,0,5,Travel Accessories,21
14,12,27-Nov-11,1000,14,Grocery,10
15,83,5-Jul-14,1000,18,Garden & Tools,18
16,38,19-Apr-11,1000,11,Kindle E-Readers & Books,9
17,8,17-Mar-12,1000,2,Mobile Accessories,20
18,32,7-Aug-15,1000,17,Grocery,10
19,42,30-Dec-11,0,17,Fire TV,24
20,78,9-Jan-14,1000,21,Kindle E-Readers & Books,9
21,66,29-Jul-10,1000,17,Credit And Payment Products,17
22,75,11-Jun-12,1000,25,Crokery,14
23,95,9-May-12,1000,13,Credit And Payment Products,17
24,43,17-Nov-15,1000,10,Movies & Music,19
25,11,27-Sep-13,0,11,Appstore For Android,22
26,64,30-Apr-12,27267,11,sport n fitness,5
27,97,30-Apr-08,0,12,Prime Photos And Prints,23
28,61,23-Aug-11,1000,19,Movies & Music,19
29,62,5-Aug-01,1000,21,Beauty Products,11
30,39,3-Jun-00,0,12,Amazon Video,25
31,39,17-Jan-17,1000,21,Handmade Craft,13
32,62,9-Jun-02,1000,24,Kindle E-Readers & Books,9
33,17,2-Nov-09,2452,16,footware,3
34,2,3-Jan-14,0,6,Fire TV,24
35,21,15-Feb-01,1000,14,Handmade Craft,13
36,68,13-Feb-10,0,9,Travel Accessories,21
37,5,21-Feb-03,0,2,Appstore For Android,22
38,17,26-Nov-13,34421,11,Electronics,1
39,83,30-Mar-06,0,23,Fire TV,24
40,51,4-Dec-02,4947,3,Gift,8
41,26,19-Mar-05,285,4,toys n games,4
42,54,6-Oct-11,0,18,Amazon Video,25
43,16,16-Aug-09,1000,16,Handmade Craft,13
44,2,14-Dec-11,1314,9,stationary,6
45,88,9-Nov-08,120,23,toys n games,4
46,80,15-Apr-12,1000,20,Mobile Accessories,20
